geofips,metro_name,airports,gdp_2017,gdp_2018,gdp_2019,gdp_2021,gdp_2022,pop_2017,pop_2018,pop_2019,pop_2021,pop_2022
17780,College Station,CLL,12461621,12996849,13580356,14174399,14510248,259123,261335,264728,"272,667","277,751"
16300,Cedar Rapids,CID,18322704,18657739,18307608,18846932,18854040,270653,272061,273032,"276,009","275,631"
11100,Amarillo,AMA,13044032,13439341,13720828,14317913,14333013,264331,264406,265053,"269,804","270,589"
21780,Evansville,EVV,17861300,18372489,19411702,20100003,19588954,314791,314660,315086,"269,987","269,892"
29700,Laredo,LRD,11313473,10859468,11389246,11380569,11679742,273691,275120,276652,"267,400","267,619"
21500,Erie,ERI,11500326,11600425,11677494,11164431,11189002,273558,271544,269728,"269,257","268,840"
31340,Lynchburg,LYH,10060609,10501057,10494654,10465215,10492407,261813,262893,263566,"262,483","263,209"
22020,Fargo,FAR,14963357,15069720,15405125,15636755,15647269,241511,244311,246145,"255,028","258,573"
28020,Kalamazoo,AZO,13678676,14546835,14955523,16058496,16352859,262998,264680,265066,"260,523","260,892"
49420,Yakima,YKM,9986455,10545549,10696037,10676322,10476526,249922,250562,250873,"256,719","257,019"
39150,Prescott Valley,PRC,7229041,7345912,7388378,8087008,8092110,228082,231772,235099,"242,352","246,230"
11540,Appleton,ATW,13810008,14241692,14583478,14309091,14195868,235811,237011,237974,"243,903","244,981"
46340,Tyler,TYR,10500988,11028005,11421754,11615626,12000949,227195,229749,232751,"237,182","241,995"
13780,Binghamton,BGM,10763033,10788110,11024592,10715948,10773238,241709,240366,238691,"246,642","245,024"
29340,Lake Charles,LCH,16643123,16397626,16834958,14249067,13299124,209410,210190,210409,"242,381","239,113"
31420,Macon-Bibb County,MCN,10845986,11030811,10872787,10714556,10723477,228985,229594,229996,"233,159","233,952"
16580,Champaign,CMI,11567426,11476322,11607622,11817541,12084721,226847,226284,226033,"236,841","236,100"
25940,Hilton Head Island,HHH,8876622,9319395,9661382,10392469,10487742,215019,218023,222195,"222,428","228,133"
13380,Bellingham,BLI,11651236,12557637,13655023,14284199,13584365,221410,225197,229247,"226,701","230,598"
12700,Barnstable Town,"HYA, PVC",12764776,13042121,13537095,13490964,13771725,213581,213471,212990,"232,315","232,078"
22900,Fort Smith,FSM,9252836,9477180,9627289,9841496,10013526,250231,250298,250368,"228,266","229,951"
40340,Rochester (MN),RST,13102093,13555688,13848335,14128823,14230336,217993,219814,221921,"227,540","228,134"
15540,Burlington (VT),BTV,13704166,13933008,14192895,14582139,15014095,218975,219939,220411,"227,196","227,566"
16820,Charlottesville,CHO,13408130,13679393,13743783,14344675,14820039,216104,217335,218615,"223,267","223,996"
33740,Monroe (LA),MLU,8330804,8467890,8203928,7971955,8113217,203894,202138,200261,"224,744","222,631"
32780,Medford,MFR,9087979,9236535,9383009,10014915,10021222,216746,219411,220944,"224,353","221,669"
17860,Columbia (MO),COU,9957674,10019553,10422519,10610366,10611705,205725,206746,208173,"212,936","214,663"
37460,Panama City,ECP,8391383,8572539,8658254,9501883,9794242,184736,186240,174705,"204,387","210,615"
23740,Jacksonville (NC),OAJ,8335011,8412503,8565803,9098987,9039244,195066,196915,197938,"206,018","209,031"
49740,Yuma,YUM,7543432,7522243,7747758,7658882,8137550,209507,211612,213787,"207,284","208,874"
27740,Johnson City,TRI,7311684,7446435,7651759,8241669,8359541,201909,202900,203649,"207,171","210,223"
39460,Punta Gorda,PGD,5181236,5363641,5658676,6234758,6475991,181522,184849,188910,"194,934","202,582"
44100,Springfield (IL),SPI,11297434,11623760,11676554,11545110,11742489,209365,207928,206868,"207,538","206,223"
27900,Joplin,JLN,7558956,7656330,7580755,7600313,7723879,178239,178613,179564,"201,950","203,137"
16620,Charleston (WV),CRW,12811681,13532732,12864407,12391989,12566527,264227,260280,257074,"207,331","204,611"
41060,St. Cloud,STC,10581206,10676022,10581367,10531622,10660374,198436,200166,201964,"200,737","201,751"
41100,St. George,SGU,6234717,6619509,6886456,7853248,7944998,165929,171567,177556,"191,513","197,730"
22500,Florence (SC),FLO,9628359,9651397,9847112,9919433,9903479,205476,205036,204911,"199,126","199,176"
13740,Billings,BIL,10233635,10293847,10047428,10488730,10149285,179365,180203,181667,"187,351","190,275"
40980,Saginaw,MBS,8198898,8459769,8429628,8783209,8854522,191965,190791,190539,"189,516","188,373"
33260,Midland (TX),MAF,21889250,27561089,33733578,31008685,30539430,170849,178186,182603,"173,471","177,247"
27180,Jackson (TN),MKL,8258298,8289197,8394582,8839508,8846033,178336,178315,178644,"180,480","181,418"
10180,Abilene,ABI,6827152,7141273,7426609,7573774,7894587,170429,171150,172060,"177,831","179,665"
39820,Redding,RDD,8147396,7889537,8349619,8172559,8126075,179384,179709,180080,"182,135","180,937"
34740,Muskegon,MKG,5986522,6085095,6118683,6155453,6229824,173645,173599,173566,"175,550","175,539"
24780,Greenville (NC),PGV,9658131,9399113,9293680,9243013,9399400,178607,179575,180742,"172,235","173,610"
20740,Eau Claire,EAU,8949759,9144818,9337250,9138281,9188956,167329,168464,169304,"172,607","173,539"
14010,Bloomington (IL),BMI,14476949,14530626,14906310,12368351,12402490,172754,172410,171517,"171,109","170,918"
29100,La Crosse,LSE,7962972,8098515,8213299,8136049,8117361,136710,136613,136616,"169,067","170,042"
39380,Pueblo,PUB,5971695,6176243,6417332,6616075,6510540,166283,167422,168424,"169,316","169,472"
26820,Idaho Falls,IDA,7361547,8111156,8949739,9137295,9286522,145512,148436,151530,"162,931","165,577"
47940,Waterloo,ALO,9420056,9586012,9506375,10151405,9914136,169359,168936,168522,"168,052","167,661"
27980,Kahului,OGG,9606468,10183573,10407877,9459908,9692556,166146,166972,167417,"164,878","164,440"
24300,Grand Junction,GJT,6404009,6686313,6825311,6885621,6892730,151170,152951,154210,"157,439","158,531"
,Jackson (WY),JAC,5986766,6319957,6546808,6877822,6764879,158563,158566,158510,"160,162","159,758"
44300,State College,SCE,8878239,8807131,8867458,8799416,8927762,162316,162601,162385,"157,984","157,533"
,Traverse City,TVC,,,,,,,,,"154,827","155,752"
39660,Rapid City,RAP,6285618,6389384,6514959,6908225,7039321,138444,140154,142107,"150,814","154,029"
42140,Santa Fe,SAF,6940839,7088694,7137712,7327711,7477089,149491,149761,150358,"155,400","155,761"
25620,Hattiesburg,PIB,6262313,6249222,6147668,6488415,6536818,167719,168292,168849,"154,778","155,120"
12620,Bangor,BGR,6360893,6599941,6762485,7003554,7141018,151645,151817,152148,"153,359","154,728"
22520,Florence (AL),MSL,5105162,5215298,5216676,5305740,5408088,147259,147608,147970,"152,497","153,868"
20020,Dothan,DHN,6355776,6409091,6541798,6848500,6715726,147878,148249,149358,"151,523","152,477"
46660,Valdosta,VLD,5414001,5518372,5707862,5926316,5843948,145360,146143,147292,"148,941","149,646"
48660,Wichita Falls,SPS,5924040,6051825,6267961,6170319,6301864,150956,150955,151254,"149,086","149,568"
10780,Alexandria,AEX,6081708,6161095,6146501,6127753,6018123,153549,152762,152037,"150,882","149,068"
45500,Texarkana,TXK,5453731,5422156,5426987,5497979,5501149,149567,149347,148761,"146,749","146,185"
10500,Albany (GA),ABY,5693673,5702355,5839867,6068572,6096378,148090,147840,146726,"144,933","145,796"
22380,Flagstaff,"FLG, PGA",7898455,7901190,7675239,7483588,7696628,141001,142523,143476,"142,897","144,223"
43580,Sioux City,SUX,8106261,8464099,8536663,9092353,9094876,143165,143787,144701,"143,907","143,737"
30140,Lebanon,LEB,5749659,5825113,5826855,6021295,6130358,139553,141339,141793,"143,759","143,902"
34060,Morgantown,MGW,7846985,7912910,7661637,7919011,7928137,139608,139204,139044,"140,825","141,200"
27860,Jonesboro,JBR,5105989,5234530,5408759,5936950,5798774,131259,132719,133860,"134,485","135,316"
13900,Bismarck,BIS,7656673,7518448,7452829,7387662,7256824,128115,128279,128949,"134,406","134,963"
